instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_store_misses,LLC_loads,minor_faults,page_faults,thread,seconds,workload,class,app,dwarfs,power,MIPS,instructions_per_cycle,instructions_per_loads,instructions_per_stores,instructions_per_branches,instruction_per_cache_misses,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
18171704471,7873562184,1,123993656,610664,242,16061423,56714,3075255095,5061709901,113432510,19534889,2208,13465440,1400,1400,1,2.94,W,CPU,bt,DLA,302,6180.85186088435,2.30793941120158,1349.50692075417,930.217953682767,146.553501664634,320409.501551645,0.741011390620474,1.07501687754033,44.6230970380537,6.24226033287222,0.004924961644812,0.033605213037365,0.003121006072408
18172425129,7865196978,1,123976202,700811,241,15844257,68509,3083046717,5066634373,111727046,19389594,3484,13878835,1399,1399,1,2.93,W,CPU,bt,DLA,302,6202.19287679181,2.31048569792094,1309.36243056424,937.225664910776,146.579947085329,265256.026638836,0.763730481841514,1.06697889039904,45.3483248183255,6.14816378149239,0.00565278649204,0.038564528125728,0.003769942619858
18185271046,7878253902,1,123937864,614458,243,15817018,65972,3085272761,5065451088,112651151,19133212,3766,13741741,1397,1397,1,2.93,W,CPU,bt,DLA,302,6206.57714880546,2.30828699762817,1323.36004921065,950.455733517195,146.728937058331,275651.35278603,0.755652250947484,1.05212685318806,44.9658174198327,6.19463689680768,0.004957790784582,0.033788773257529,0.003627771058959
18235930406,7881703647,1,123728057,581001,244,16206111,90514,3070174133,5047613037,113872601,19439928,3705,13422685,1397,1397,1,2.94,W,CPU,bt,DLA,302,6202.6974170068,2.31370414604983,1358.59035699638,938.065738000676,147.387188065194,201470.826678746,0.736057042397116,1.06602337074087,44.326844145766,6.24440861885136,0.004695790219998,0.031860233454765,0.004963497775261
17906440753,7759857797,1,121828255,581306,243,15677005,61596,3086765688,5069750194,111955365,19137830,9029,13843162,1400,1400,1,2.93,W,CPU,bt,DLA,302,6111.41322627986,2.30757331144943,1293.52244472758,935.656798759316,146.981016456322,290707.85039613,0.773082836000267,1.06876795137491,45.2836734889838,6.25223999254253,0.00477152036693,0.03246351455426,0.003439879585768
18186245397,7881808651,0,123880528,628527,242,16035982,66823,3075101820,5062430067,112250802,20014346,973,13023081,1400,1400,1,2.94,W,CPU,bt,DLA,302,6185.79775408163,2.30736956481335,1396.46258800049,908.660487682186,146.804713304096,272155.476362929,0.716095088112486,1.10052105660587,45.0992774822224,6.17229117663379,0.005073654513323,0.034560569610684,0.003674370302461
18192623640,7884106278,1,123570112,657184,243,15976145,61752,3076224222,5058762033,112543686,19604139,4015,13133952,1401,1401,1,2.93,W,CPU,bt,DLA,302,6209.0865665529,2.30750613937881,1385.15990008186,927.999114880791,147.225112493222,294607.844928099,0.72193831191684,1.07758723469091,44.9493189071487,6.18622625449971,0.005318308686165,0.036123651706566,0.00339434274143
18174978298,7895080833,1,124219436,591416,240,15634656,59920,3077730414,5059130989,111557440,19552195,3477,13204884,1400,1400,1,2.93,W,CPU,bt,DLA,302,6203.06426552901,2.3020636118166,1376.38303358061,929.562041397398,146.313482682372,303320.732610147,0.726541940435389,1.07577542484062,45.3500097259313,6.13796826443947,0.004761058486854,0.032540121385734,0.003296840250235
18191965332,7892335995,0,123649620,583827,242,16270566,66861,3076938328,5058072672,112731533,19192104,998,13486653,1399,1399,1,2.93,W,CPU,bt,DLA,302,6208.86188805461,2.30501658108893,1348.886586761,947.888013320478,147.125121225605,272086.348274779,0.741352171349883,1.05497694447783,44.8683038134503,6.19677593611632,0.004721623891768,0.032092574350559,0.0036753038377
18204946163,7873283264,1,123691906,627329,242,15741621,103994,3081530765,5062572514,112776144,19589930,4131,13499307,1396,1396,1,2.93,W,CPU,bt,DLA,302,6213.29220580205,2.31224326022166,1348.58375789216,929.301236043212,147.179769086912,175057.658739927,0.741518644391061,1.0760773376971,44.8904558574019,6.19480788299215,0.005071706147046,0.034459261476697,0.005712403600037
