instructions,cycles,cpu_clock,cpu_migrations,branches,branch_misses,branch_ratio,context_switches,cache_references,cache_misses,mem_loads,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_store_misses,LLC_loads,thread,seconds,workload,class,app,GFlops,Band,IA,MIPS,Instructions_per_cycle,dwarfs,instructions_per_loads,instructions_per_stores,instructions_per_branches,instructions_per_cache_misses,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17612342364,11285368326,2508.66,2,106115012,720463,147.287247228518,5,122994119,52494,0,3085273586,4934614421,281501002,1491777,42,4730205,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13242.3626796992,1.56063513881275,DLA,3723.37823920951,11806.2836228203,165.974088227969,335511.532060807,0.268573305142457,0.084700658729484,17.5296513544915,15.9831665875059,0.006789454068949,0.040906711050124,0.002980523482629
17582406705,11292587771,2501.83,2,105993487,711796,148.909922224907,10,134546809,10982,0,3085566827,4937827374,280817825,2861747,46,5406927,2,1.34,W,CPU,bt,5.60469,0.03133,178.89211,13121.1990335821,1.55698649960044,DLA,3251.82986657671,6143.94169191057,165.881953718534,1601020.46120925,0.307519163372691,0.162761961318196,17.5837391162758,15.971523677708,0.00671546922501,0.040483422545196,0.000624601636412
17659612490,11294325791,2516.68,2,105040273,718961,146.100098614528,9,135101305,109670,0,3086132824,4931299332,281002529,3122398,1465,5736436,2,1.34,W,CPU,bt,5.60469,0.03133,178.89211,13178.8152910448,1.56358270664303,DLA,3078.49900007601,5655.78522981375,168.122301909859,161025.006747515,0.324833628328387,0.176810108475942,17.5489500025105,15.9121571415636,0.006844622347849,0.040712161742344,0.006210215544769
17603210483,11246164049,2497.01,2,106197522,716329,148.252439870506,7,133736358,12300,0,3090215317,4930695689,279736026,3037962,59,5773302,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13235.4966037594,1.56526353397497,DLA,3049.07148162351,5794.41430900057,165.759145331094,1431155.32382114,0.327968696708789,0.172579996298622,17.6262448548547,15.8911936132418,0.006745251551161,0.040693088382473,0.000698736177238
17624187380,11273787322,2503.82,2,106228706,701957,151.332212656901,9,137831022,77449,0,3075757981,4928095034,279364690,3366397,42,5920898,2,1.34,W,CPU,bt,5.60469,0.03133,178.89211,13152.378641791,1.56328897083304,DLA,2976.60715992743,5235.32648704238,165.907955049363,227558.617670983,0.33595296465805,0.19101005495551,17.6403647647811,15.8512097026967,0.006607978449818,0.039829183886038,0.004394472115514
17657204315,11294005626,2502.65,2,105743644,692638,152.66797952177,7,125575394,15265,0,3086359477,4934848184,279677643,1494198,212,4599077,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13276.0934699248,1.56341380549264,DLA,3839.29303966861,11817.1783893433,166.98123543955,1156711.71405175,0.260464619310829,0.08462256953841,17.6447717846364,15.839293582983,0.006550162012574,0.039226934663241,0.000864519644655
17821019576,11379030032,2572.2,2,105405929,681556,154.65483247158,7,152789222,181333,0,3074953461,4929110610,280479532,7125395,3216,5955919,2,1.37,W,CPU,bt,5.60469,0.03133,178.89211,13008.0434861314,1.56612817840219,DLA,2992.15277709452,2501.05707487094,169.070371515819,98277.8621431289,0.334207533671136,0.399830939504491,17.5738692048302,15.738691650265,0.006466011983064,0.038244500944147,0.010175231513926
17664495609,11277041577,2504.66,2,105902888,705238,150.166168017038,10,152013393,58028,0,3089657276,4936900059,279221328,5584122,310,6323940,2,1.35,W,CPU,bt,5.60469,0.03133,178.89211,13084.8115622222,1.56641220912296,DLA,2793.2737516485,3163.34342426616,166.798998049987,304413.310970566,0.358002862916616,0.316121225513788,17.6809561589077,15.8069233438931,0.006659289593689,0.039924038342804,0.003285007468339
17861263189,11338203987,2549,2,105048092,692044,151.793949517661,9,120481866,146238,0,3060914895,4915946567,278803632,1647774,793,4683293,2,1.36,W,CPU,bt,5.60469,0.03133,178.89211,13133.2817566177,1.57531679704115,DLA,3813.8256967907,10839.6316418392,170.029391766582,122138.316914892,0.262203907441678,0.092254057429421,17.6322902672947,15.6094017007545,0.00658787786455,0.038745523912676,0.008187438841955
17597304145,11272425489,2493.89,2,105973963,707912,149.699345398863,11,132541192,13444,0,3084982262,4936542953,280416328,3223423,49,5561202,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13231.0557481203,1.56109296638705,DLA,3164.29867949411,5459.19792251901,166.053091220152,1308933.66148468,0.316025793165604,0.183177091981779,17.6043349123379,15.9351867586875,0.006680055930342,0.040228434660609,0.000763980658016
17670145018,11297244415,2498.83,2,105797968,695703,152.073468132235,11,139901589,29812,0,3085504970,4934374407,280881170,4000433,33,6080021,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13285.8233218045,1.5641110671677,DLA,2906.26381356249,4417.05810795981,167.017810946993,592719.20763451,0.344084386053792,0.226395029351762,17.5674802515242,15.8958044607939,0.00657576901666,0.039371663293726,0.001687139520906
17624426201,11291029322,2500.05,2,106271744,708303,150.037122530894,7,125125354,12302,0,3084256031,4932409383,280250278,2320716,23,4953779,2,1.33,W,CPU,bt,5.60469,0.03133,178.89211,13251.4482714286,1.56092289714098,DLA,3557.77401474713,7594.3916450785,165.843012804984,1432647.22817428,0.28107462583485,0.131676116631152,17.6000160221072,15.9012426733132,0.006665017184624,0.040188712637908,0.000698008539949
